Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
2002,2,60,Tampa Bay Lightning,Adam Henrich,CA,LW,18,,Brampton,OHL,,,,,,,
2003,2,60,Vancouver Canucks,Marc-Andre Bernier,CA,RW,18,,Halifax,QMJHL,,,,,,,
2004,2,60,New York Rangers,Brandon Dubinsky\dubinbr01,US,C,18,2019,Portland,WHL,x,823,153,285,438,24,905
2005,2,60,Los Angeles Kings,T.J. Fast,CA,D,18,,Camrose,AJHL,,,,,,,
1993,3,60,Edmonton Oilers,Alexander Kerch\kerchal01,SU,LW,26,1994,Pardaugava Riga,KHL,x,5,0,0,0,-8,2
1994,3,60,Edmonton Oilers,Brad Symes,CA,,,,Portland,WHL,,,,,,,
1995,3,60,Montreal Canadiens,Miloslav Guren\gurenmi01,CS,D,18,2000,ZPS Zlin,Czech,x,36,1,3,4,-6,16
1996,3,60,Florida Panthers,Chris Allen\allench01,CA,D,18,1999,Kingston,OHL,x,2,0,0,0,1,2
1997,3,60,Calgary Flames,Derek Schutz,CA,,,,Spokane,WHL,,,,,,,
1998,3,60,Nashville Predators,Denis Arkhipov\arkhide01,SU,C,19,2007,Ak Bars Kazan,Russia,x,352,56,82,138,-51,128
1999,2,61,Nashville Predators,Ed Hill,US,,,,Barrie,OHL,,,,,,,
2000,2,61,Washington Capitals,Jakub Cutta\cuttaja01,CS,D,18,2004,Swift Current,WHL,x,8,0,0,0,-5,0
2001,2,61,Tampa Bay Lightning,Andreas Holmqvist,SE,D,20,,Hammarby,Sweden-2,,,,,,,
2002,2,61,Colorado Avalanche,Johnny Boychuk\boychjo01,CA,D,18,2020,Calgary,WHL,x,725,54,152,206,123,331
2003,2,61,Montreal Canadiens,Maxim Lapierre\lapiema01,CA,C,18,2015,Montreal,QMJHL,x,614,65,74,139,-49,586
2004,2,61,Pittsburgh Penguins,Alex Goligoski\goligal01,US,D,19,2020,Sioux Falls,USHL,x,868,80,327,407,29,294
2005,2,61,Pittsburgh Penguins,Michael Gergen,US,LW,18,,Shattuck-St. Mary's,High-MN,,,,,,,
1993,3,61,New York Rangers,Maxim Galanov\galanma01,SU,D,19,2001,Lada Togliatti,KHL,x,122,8,12,20,-24,44
1994,3,61,Quebec Nordiques,Sebastien Bety,CA,,,,Drummondville,QMJHL,,,,,,,
1995,3,61,Vancouver Canucks,Larry Courville\courvla01,CA,LW,20,1998,Oshawa,OHL,x,33,1,2,3,-10,16
1996,3,61,Hartford Whalers,Andrei Petrunin,RU,,,,CSKA Moscow,Russia,,,,,,,
1997,3,61,Tampa Bay Lightning,Matt Elich\elichma01,US,RW,17,2001,Windsor,OHL,x,16,1,1,2,-6,0
1998,3,61,Florida Panthers,Joe DiPenta\dipenjo01,CA,D,19,2008,Boston University,H-East,x,174,6,17,23,15,110
1999,2,62,Ottawa Senators,Teemu Sainomaa,FI,,,,Jokerit Helsinki Jr.,Finland-Jr.,,,,,,,
2000,2,62,New Jersey Devils,Paul Martin\martipa01,US,D,19,2018,Elk River,High-MN,x,870,50,270,320,126,238
2001,2,62,Detroit Red Wings,Igor Grigorenko,RU,RW,18,,CSK VVS Samara,Russia-3,,,,,,,
2002,2,62,St. Louis Blues,Andrei Mikhnov,UA,C,18,,Sudbury,OHL,,,,,,,
2003,2,62,St. Louis Blues,David Backes\backeda01,US,C,19,2020,Lincoln,USHL,x,950,245,312,557,68,1144
2004,2,62,Washington Capitals,Mikhail Yunkov,RU,C,18,,Krylja Sovetov,Russia,,,,,,,
1993,3,62,Pittsburgh Penguins,Dave Roche\rocheda02,CA,LW,18,2002,Peterborough,OHL,x,171,15,15,30,-20,334
1994,3,62,Philadelphia Flyers,Artem Anisimov,RU,,,,Itil Kazan,,,,,,,,
1995,3,62,Florida Panthers,Mike O'Grady,CA,,,,Lethbridge,WHL,,,,,,,
1996,3,62,Phoenix Coyotes,Per-Anton Lundstrom,SE,,,,MoDo Ornskoldsvik,Sweden,,,,,,,
1997,3,62,Philadelphia Flyers,Kris Mallette,CA,,,,Kelowna,WHL,,,,,,,
1998,3,62,Calgary Flames,Paul Manning\mannipa01,CA,D,19,2003,Colorado College,WCHA,x,8,0,0,0,0,2
2005,3,62,Pittsburgh Penguins,Kris Letang\letankr01,CA,D,18,2020,Val d'Or,QMJHL,x,808,127,410,537,61,580
1999,2,63,Chicago Blackhawks,Stepan Mokhov,KZ,,,,Cherepovets,KHL,,,,,,,
2000,2,63,Colorado Avalanche,Agris Saviels,LV,,,,Owen Sound,OHL,,,,,,,
2001,2,63,Colorado Avalanche,Peter Budaj\budajpe01,CS,G,18,2019,St. Michael's,OJHL,x,368,0,11,11,0,20
2002,2,63,Detroit Red Wings,Tomas Fleischmann\fleisto01,CS,LW,18,2016,Vitkovice Jr.,Czech-Jr.,x,657,137,198,335,-43,200
2003,2,63,Colorado Avalanche,David Liffiton\liffida01,CA,D,18,2011,Plymouth,OHL,x,7,1,0,1,4,26
2004,2,63,Boston Bruins,David Krejci\krejcda01,CS,C,18,2020,Poldi Kladno Jr.,Czech-Jr.,x,911,207,479,686,127,323
1993,3,63,St. Louis Blues,Jamie Rivers\riverja01,CA,D,18,2007,Sudbury,OHL,x,454,17,49,66,4,385
1994,3,63,New York Islanders,Jason Strudwick\strudja01,CA,D,19,2011,Kamloops,WHL,x,674,13,42,55,-82,811
